아이디,고을_한글,고을_한자,레벨,도,고을,한자,계수관id,계수관,호,구,번상군,유방군,수군,군정,侍衛軍,營鎭屬軍,鎭屬防牌,守城軍,守護軍,巡綽牌,烟臺軍,烽火軍,營屬軍,營鎭軍,翼屬軍,鎭屬軍,正軍,步軍,營軍,甲士,翼軍,鎭軍,防牌,馬軍,長番水軍,騎船軍,船軍,진군중_방패군,부령_갑사정군_원문합계,추정배분여부,추정배분근거,한자短,도短,admid_group,lon,lat,면적km2,한양거리km
wda_40009003_002,강원도 / 회양도호부 / 김화현,江原道 / 淮陽都護府 / 金化縣,5.0,강원도,김화현,金化縣,wda_40009003,회양도호부,181,517,67,0,10,77,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,金化,강원,강원_김화,127.45771763735138,38.278332039308246,507.5455883741379,89.87936535060429
wda_40009003_003,강원도 / 회양도호부 / 평강현,江原道 / 淮陽都護府 / 平康縣,5.0,강원도,평강현,平康縣,wda_40009003,회양도호부,163,212,67,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,平康,강원,강원_평강,127.23122861126384,38.56878639726109,1412.44246834144,113.22127495591369
wda_40009003_004,강원도 / 회양도호부 / 이천현,江原道 / 淮陽都護府 / 伊川縣,5.0,강원도,이천현,伊川縣,wda_40009003,회양도호부,333,582,117,0,18,135,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,,伊川,강원,강원_이천,126.98240852547984,38.68098359690407,1506.0258975103498,123.2891584460708
wda_40009004,강원도 / 삼척도호부,江原道 / 三陟都護府,4.0,강원도,삼척도호부,三陟都護府,wda_40009004,삼척도호부,581,2613,63,21,21,105,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,15,0,0,,三陟,강원,강원_삼척,129.0844782766032,37.28356671427058,1705.4289500005543,192.35114832475728
wda_40009004_001,강원도 / 삼척도호부 / 평해군,江原道 / 三陟都護府 / 平海郡,5.0,강원도,평해군,平海郡,wda_40009004,삼척도호부,247,911,25,7,71,103,25,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,,平海,강원,강원_평해,129.37755232413798,36.74807241507198,312.8865163810551,234.3483875958076
wda_40009004_002,강원도 / 삼척도호부 / 울진현,江原道 / 三陟都護府 / 蔚珍縣,5.0,강원도,울진현,蔚珍縣,wda_40009004,삼척도호부,270,1483,38,4,70,112,38,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,,蔚珍,강원,강원_울진,129.43281173492147,37.02016474884255,785.9799320697784,229.25716718519013
wda_40009005,강원도 / 춘천도호부,江原道 / 春川都護府,4.0,강원도,춘천도호부,春川都護府,wda_40009005,춘천도호부,1227,2201,298,0,134,432,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,,春川,강원,강원_춘천,127.86272040390972,37.91660899906588,1769.2789394780991,88.68976667606769
wda_40009005_001,강원도 / 춘천도호부 / 낭천현,江原道 / 春川都護府 / 狼川縣,5.0,강원도,낭천현,狼川縣,wda_40009005,춘천도호부,264,750,100,0,30,130,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,,狼川,강원,강원_낭천,127.72010586204088,38.15087388165503,772.7886167764664,93.06590037485464
wda_40009005_002,강원도 / 춘천도호부 / 양구현,江原道 / 春川都護府 / 楊口縣,5.0,강원도,양구현,楊口縣,wda_40009005,춘천도호부,317,691,87,0,0,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,楊口,강원,강원_양구,128.00036091960584,38.17904889622693,683.0747057795525,114.40827041330893
wda_40009005_003,강원도 / 춘천도호부 / 인제현,江原道 / 春川都護府 / 麟蹄縣,5.0,강원도,인제현,麟蹄縣,wda_40009005,춘천도호부,197,398,69,0,4,73,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,麟蹄,강원,강원_인제,128.22405659655388,38.1583225139601,1360.1560434736311,130.01196138665634
wda_40009006,강원도 / 간성군,江原道 / 杆城郡,4.0,강원도,간성군,杆城郡,wda_40009006,간성군,332,567,72,11,140,223,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,140,10,0,0,,杆城,강원,강원_간성,128.42950276547026,38.351507099186506,522.1587557531893,157.02189899991467
wda_40009006_001,강원도 / 간성군 / 고성군,江原道 / 杆城郡 / 高城郡,5.0,강원도,고성군,高城郡,wda_40009006,간성군,421,1005,37,0,70,107,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,,高城,강원,강원_고성,128.24157914131143,38.55763289981246,788.3376127108932,158.0926094039727
wda_40009006_002,강원도 / 간성군 / 통천군,江原道 / 杆城郡 / 通川郡,5.0,강원도,통천군,通川郡,wda_40009006,간성군,344,1575,53,0,70,123,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,,通川,강원,강원_통천,127.9538567000928,38.827792152454016,509.98023391887546,164.9421404269655
wda_40009006_003,강원도 / 간성군 / 흡곡현,江原道 / 杆城郡 / 歙谷縣,5.0,강원도,흡곡현,歙谷縣,wda_40009006,간성군,219,675,22,0,56,78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,,歙谷,강원,강원_흡곡,127.73111696764782,39.01602358019803,385.6081493385136,174.12584964860469
wda_40004001,경기 / 광주목,京畿 / 廣州牧,4.0,경기,광주목,廣州牧,wda_40004001,광주목,1436,3110,122,0,263,385,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,,廣州,경기,경기_광주,127.18627665020772,37.42182735957993,931.9595247320832,24.685299577922983
wda_40004001_001,경기 / 광주목 / 여흥도호부,京畿 / 廣州牧 / 驪興都護府,5.0,경기,여흥도호부,驪興都護府,wda_40004001,광주목,538,1144,75,0,121,196,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,,驪興,경기,경기_여주,127.6300476228004,37.24300531648429,275.88272508233786,68.80809941812038
wda_40004001_002,경기 / 광주목 / 양근군,京畿 / 廣州牧 / 楊根郡,5.0,경기,양근군,楊根郡,wda_40004001,광주목,388,1686,25,0,79,104,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,,楊根,경기,경기_양근,127.44610358472,37.57292527720242,548.8989619649947,42.25430108807233
wda_40004001_003,경기 / 광주목 / 음죽현,京畿 / 廣州牧 / 陰竹縣,5.0,경기,음죽현,陰竹縣,wda_40004001,광주목,390,1088,81,0,58,139,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,,陰竹,경기,경기_음죽,127.56160471746884,37.11234667892399,166.57077127695084,72.72006913569508
wda_40004001_004,경기 / 광주목 / 이천현,京畿 / 廣州牧 / 利川縣,5.0,경기,이천현,利川縣,wda_40004001,광주목,1026,3898,80,0,119,199,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,,利川,경기,경기_이천,127.44429126465975,37.25205315048598,316.7932448089123,54.55421110000404
wda_40004001_005,경기 / 광주목 / 과천현,京畿 / 廣州牧 / 果川縣,5.0,경기,과천현,果川縣,wda_40004001,광주목,244,743,21,0,70,91,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,,果川,경기,경기_과천,126.97497752982362,37.42698777011894,141.77183735743165,15.372217439105082
wda_40004001_006,경기 / 광주목 / 천녕현,京畿 / 廣州牧 / 川寧縣,5.0,경기,천녕현,川寧縣,wda_40004001,광주목,413,1234,69,0,42,111,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,,川寧,경기,경기_천녕,127.54374082361008,37.38209211098363,251.49699026718736,54.94240091806675
wda_40004001_007,경기 / 광주목 / 지평현,京畿 / 廣州牧 / 砥平縣,5.0,경기,지평현,砥平縣,wda_40004001,광주목,267,515,13,0,58,71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,,砥平,경기,경기_지평,127.67626697661872,37.50932275555671,512.9875659495592,63.28688737062695
wda_40004001_008,경기 / 광주목 / 금천현,京畿 / 廣州牧 / 衿川縣,5.0,경기,금천현,衿川縣,wda_40004001,광주목,327,937,5,0,73,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,,衿川,경기,경기_금천,126.90122582095655,37.46057848927207,127.4094001315534,13.50750107515116
wda_40004002,경기 / 양주도호부,京畿 / 楊州都護府,4.0,경기,양주도호부,楊州都護府,wda_40004002,양주도호부,1481,2726,133,0,132,265,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,,楊州,경기,경기_양주,127.10410438916294,37.76124281462035,1127.8431422784925,24.43581409274532
wda_40004002_001,경기 / 양주도호부 / 원평도호부,京畿 / 楊州都護府 / 原平都護府,5.0,경기,원평도호부,原平都護府,wda_40004002,양주도호부,494,1316,17,0,26,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,,原平,경기,경기_파주,126.84271416225592,37.838655995093966,298.8732491731644,32.48385408503253
wda_40004002_002,경기 / 양주도호부 / 고양현,京畿 / 楊州都護府 / 高陽縣,5.0,경기,고양현,高陽縣,wda_40004002,양주도호부,679,1314,65,0,20,85,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,,高陽,경기,경기_고양,126.81804822443412,37.66311089064724,214.12719341367483,17.894892326978116
wda_40004002_003,경기 / 양주도호부 / 교하현,京畿 / 楊州都護府 / 交河縣,5.0,경기,교하현,交河縣,wda_40004002,양주도호부,590,1629,64,0,43,107,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,,交河,경기,경기_교하,126.73058814764823,37.76691474677798,130.6570374071598,31.40102043605153
wda_40004002_004,경기 / 양주도호부 / 임진현,京畿 / 楊州都護府 / 臨津縣,5.0,경기,임진현,臨津縣,wda_40004002,양주도호부,274,613,2,0,16,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,,臨津,경기,경기_임진,126.73569790067654,37.9104578774674,127.45541816204786,43.85162716892355
wda_40004002_005,경기 / 양주도호부 / 적성현,京畿 / 楊州都護府 / 積城縣,5.0,경기,적성현,積城縣,wda_40004002,양주도호부,212,380,21,0,14,35,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,積城,경기,경기_적성,126.9438190001227,37.95245215818852,166.09641567617655,42.83592041161753
wda_40004002_006,경기 / 양주도호부 / 포천현,京畿 / 楊州都護府 / 抱川縣,5.0,경기,포천현,抱川縣,wda_40004002,양주도호부,371,1222,60,0,50,110,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,,抱川,경기,경기_포천,127.20395281233688,37.86193652687989,332.98540925979614,38.58177001337606
wda_40004002_007,경기 / 양주도호부 / 가평현,京畿 / 楊州都護府 / 加平縣,5.0,경기,가평현,加平縣,wda_40004002,양주도호부,288,987,96,0,43,139,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,,加平,경기,경기_가평,127.43540989363738,37.83861386230748,660.1936775706708,51.11803679212035
wda_40004003,경기 / 수원도호부,京畿 / 水原都護府,4.0,경기,수원도호부,水原都護府,wda_40004003,수원도호부,1842,4926,197,0,405,602,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,,水原,경기,경기_수원,126.9649237770794,37.12240877267501,703.5862900875509,49.0617124077935
wda_40004003_001,경기 / 수원도호부 / 남양도호부,京畿 / 水原都護府 / 南陽都護府,5.0,경기,남양도호부,南陽都護府,wda_40004003,수원도호부,487,778,2,0,145,147,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,,南陽,경기,경기_남양,126.7159927469743,37.208551034516965,311.2695113681257,45.986247452325614
wda_40004003_002,경기 / 수원도호부 / 안산군,京畿 / 水原都護府 / 安山郡,5.0,경기,안산군,安山郡,wda_40004003,수원도호부,302,588,1,0,115,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,,安山,경기,경기_안산,126.81371685243695,37.354369694243175,114.07523971050978,27.63769263019001
wda_40004003_003,경기 / 수원도호부 / 안성군,京畿 / 水原都護府 / 安城郡,5.0,경기,안성군,安城郡,wda_40004003,수원도호부,424,1763,92,0,129,221,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,,安城,경기,경기_안성,127.28783362133952,36.990817030196,232.47674771025777,69.48840014106693
wda_40004003_004,경기 / 수원도호부 / 진위현,京畿 / 水原都護府 / 振威縣,5.0,경기,진위현,振威縣,wda_40004003,수원도호부,221,535,10,0,51,61,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,,振威,경기,경기_진위,127.0601241579814,37.098034703360376,78.4139254167676,52.28351663928415
wda_40004003_005,경기 / 수원도호부 / 용인현,京畿 / 水原都護府 / 龍仁縣,5.0,경기,용인현,龍仁縣,wda_40004003,수원도호부,457,1168,66,0,76,142,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,,龍仁,경기,경기_용인,127.1670789930255,37.241855058660335,414.41717406362295,39.72016114145227
wda_40004003_006,경기 / 수원도호부 / 양성현,京畿 / 水原都護府 / 陽城縣,5.0,경기,양성현,陽城縣,wda_40004003,수원도호부,425,1210,76,0,68,144,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,,陽城,경기,경기_양성,127.108829192671,37.04118225551325,199.176061950624,59.23323628108565
wda_40004003_007,경기 / 수원도호부 / 양지현,京畿 / 水原都護府 / 陽智縣,5.0,경기,양지현,陽智縣,wda_40004003,수원도호부,346,609,37,0,68,105,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,,陽智,경기,경기_양지,127.3017446431877,37.17807102678114,151.51115988194942,51.91649492329368
wda_40004004,경기 / 철원도호부,京畿 / 鐵原都護府,4.0,경기,철원도호부,鐵原都護府,wda_40004004,철원도호부,351,770,62,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,鐵原,경기,강원_철원,127.21737584548283,38.22894422935179,723.7715680152178,76.4341458548815
wda_40004004_001,경기 / 철원도호부 / 삭녕군,京畿 / 鐵原都護府 / 朔寧郡,5.0,경기,삭녕군,朔寧郡,wda_40004004,철원도호부,233,722,61,0,37,98,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,,朔寧,경기,경기_삭녕,126.97833140461056,38.25284205384352,412.9741954803467,75.94696791627258
wda_40004004_002,경기 / 철원도호부 / 영평현,京畿 / 鐵原都護府 / 永平縣,5.0,경기,영평현,永平縣,wda_40004004,철원도호부,138,419,33,0,37,70,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,,永平,경기,경기_영평,127.31318059309596,38.02297024583979,499.0525311343372,58.90534682882778
wda_40004004_003,경기 / 철원도호부 / 장단현,京畿 / 鐵原都護府 / 長湍縣,5.0,경기,장단현,長湍縣,wda_40004004,철원도호부,170,467,4,0,11,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,長湍,경기,경기_장단,126.84327096857318,38.00251480793381,91.79941012337804,49.74705941255401
wda_40004004_004,경기 / 철원도호부 / 안협현,京畿 / 鐵原都護府 / 安峽縣,5.0,경기,안협현,安峽縣,wda_40004004,철원도호부,140,410,8,0,10,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,安峽,경기,경기_안협,126.90386508568378,38.38571800145664,251.4663792252541,90.87849477996645
wda_40004004_005,경기 / 철원도호부 / 임강현,京畿 / 鐵原都護府 / 臨江縣,5.0,경기,임강현,臨江縣,wda_40004004,철원도호부,364,878,33,0,35,68,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,,臨江,경기,경기_임강,126.77161684336224,38.06277309010587,348.3069894127548,57.960811378317445
wda_40004004_006,경기 / 철원도호부 / 마전현,京畿 / 鐵原都護府 / 麻田縣,5.0,경기,마전현,麻田縣,wda_40004004,철원도호부,146,484,13,0,26,39,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,,麻田,경기,경기_마전,126.96870145247792,38.051933770286695,75.10657976567745,53.736838099063846
wda_40004004_007,경기 / 철원도호부 / 연천현,京畿 / 鐵原都護府 / 漣川縣,5.0,경기,연천현,漣川縣,wda_40004004,철원도호부,186,360,23,0,21,44,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,,漣川,경기,경기_연천,127.04111639461824,38.11988044092259,181.621451087296,61.516381584835074
wda_40004005,경기 / 부평도호부,京畿 / 富平都護府,4.0,경기,부평도호부,富平都護府,wda_40004005,부평도호부,429,954,20,0,128,148,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,,富平,경기,경기_부평,126.74375906895912,37.52464997955924,183.7472921460867,21.49747974605399
wda_40004005_001,경기 / 부평도호부 / 강화도호부,京畿 / 富平都護府 / 江華都護府,5.0,경기,강화도호부,江華都護府,wda_40004005,부평도호부,2445,3283,2,0,474,476,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,195,0,0,0,,江華,경기,경기_강화,126.4222186891479,37.69550163750687,363.2463108189404,51.97497131414229
wda_40004005_002,경기 / 부평도호부 / 인천군,京畿 / 富平都護府 / 仁川郡,5.0,경기,인천군,仁川郡,wda_40004005,부평도호부,357,1412,1,0,172,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,,仁川,경기,경기_인천,126.54573333724323,37.39232407874094,268.41198732703924,43.32809133662189
wda_40004005_003,경기 / 부평도호부 / 해풍군,京畿 / 富平都護府 / 海豐郡,5.0,경기,해풍군,海豐郡,wda_40004005,부평도호부,792,1381,9,0,94,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,,海豊,경기,경기_풍덕,126.57135958776745,37.86267770114059,262.61476362869143,49.099246517558136
wda_40004005_004,경기 / 부평도호부 / 김포현,京畿 / 富平都護府 / 金浦縣,5.0,경기,김포현,金浦縣,wda_40004005,부평도호부,318,651,2,0,59,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,,金浦,경기,경기_김포,126.70847146081822,37.61511621229265,100.58718781173228,24.78594212752813
wda_40004005_005,경기 / 부평도호부 / 양천현,京畿 / 富平都護府 / 陽川縣,5.0,경기,양천현,陽川縣,wda_40004005,부평도호부,222,509,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,,陽川,경기,경기_양천,126.83721242178304,37.55151692840306,55.6782635897398,12.690687295907736
wda_40004005_006,경기 / 부평도호부 / 교동현,京畿 / 富平都護府 / 喬桐縣,5.0,경기,교동현,喬桐縣,wda_40004005,부평도호부,221,562,6,0,444,450,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,195,0,0,0,,喬桐,경기,경기_교동,126.27482960162044,37.77641926783655,55.61554513126612,67.38178902905484
wda_40004005_007,경기 / 부평도호부 / 통진현,京畿 / 富平都護府 / 通津縣,5.0,경기,통진현,通津縣,wda_40004005,부평도호부,458,971,6,0,110,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,,通津,경기,경기_통진,126.5971929216258,37.69315770645634,186.50900980085132,36.982404711224575
wda_40006001,경상도 / 경주부,慶尙道 / 慶州府,4.0,경상도,경주부,慶州府,wda_40006001,경주부,2332,9289,66,209,941,1216,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,941,0,0,0,,慶州,경상,경상_경주,129.1786296829764,35.8921425665677,2191.645707618445,271.2393218881942
wda_40006001_001,경상도 / 경주부 / 밀양도호부,慶尙道 / 慶州府 / 密陽都護府,5.0,경상도,밀양도호부,密陽都護府,wda_40006001,경주부,1999,6785,120,233,542,895,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,542,0,0,0,,密陽,경상,경상_밀양,128.80450290188855,35.50765403214548,781.2881270833313,280.8729420789147
wda_40006001_002,경상도 / 경주부 / 양산군,慶尙道 / 慶州府 / 梁山郡,5.0,경상도,양산군,梁山郡,wda_40006001,경주부,425,937,15,43,131,189,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,131,0,0,0,,梁山,경상,경상_양산,129.0143608580794,35.365707367305475,502.2683533504605,304.72775579983573
wda_40006001_003,경상도 / 경주부 / 울산군,慶尙道 / 慶州府 / 蔚山郡,5.0,경상도,울산군,蔚山郡,wda_40006001,경주부,1058,4161,16,116,368,500,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,368,0,0,0,,蔚山,경상,경상_울산,129.29451880149423,35.51333494563502,691.6594813577831,308.34728906490034
wda_40006001_004,경상도 / 경주부 / 청도군,慶尙道 / 慶州府 / 淸道郡,5.0,경상도,청도군,淸道郡,wda_40006001,경주부,649,3361,33,87,255,375,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,255,0,0,0,,淸道,경상,경상_청도,128.8138176759275,35.66191620709061,548.8044559955597,267.75529237231336
wda_40006001_005,경상도 / 경주부 / 흥해군,慶尙道 / 慶州府 / 興海郡,5.0,경상도,흥해군,興海郡,wda_40006001,경주부,423,1885,10,27,165,202,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,165,0,0,0,,興海,경상,경상_흥해,129.34324953611343,36.09304027155341,144.85703366994858,268.21679279355914
wda_40006001_006,경상도 / 경주부 / 대구군,慶尙道 / 慶州府 / 大丘郡,5.0,경상도,대구군,大丘郡,wda_40006001,경주부,1249,4425,51,105,454,610,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,454,0,0,0,,大丘,경상,경상_대구,128.5979599743532,35.81854474284292,613.5791126973927,242.16996675047804
